1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
334,0,1,None,0,0,0,0,0,1979,334,Fa,5000,50,0,0,3,1,0,1946,1950,39300
1136,0,3,No,892,3,244,384,2,1965,1136,TA,9200,80,0,0,6,6,1136,1965,1965,140000
1337,0,2,No,1201,6,36,405,3,1998,1337,TA,4500,32,443,199,5,6,1237,1998,1998,153500
912,0,2,No,312,3,0,288,1,1964,912,TA,7800,66,0,0,5,5,912,1964,1964,115000
876,936,4,No,540,5,324,264,2,1962,1812,TA,7590,69,288,168,5,5,864,1962,1962,169500
1052,720,4,No,378,4,342,240,2,1939,2192,Gd,8400,60,0,24,8,5,720,1939,1997,179500
658,526,5,No,0,1,658,0,0,1979,1184,TA,8410,58,0,151,3,5,658,1910,1996,81000
964,925,4,No,0,1,925,308,1,1960,1889,TA,10120,60,0,0,4,7,925,1910,1950,122000
1327,0,3,No,405,3,658,624,1,1974,1327,Gd,7388,75,0,0,6,5,1063,1959,2002,150750
1422,0,3,No,588,4,606,576,3,1981,1422,Gd,12090,78,210,0,6,6,1422,1981,1981,175500
1632,0,4,Av,0,1,1632,576,1,1967,1632,TA,25000,100,0,0,4,5,1632,1967,1967,143000
1630,0,3,No,0,4,1630,451,1,2000,1630,Gd,9750,75,171,234,5,7,1630,2000,2001,213000
1013,0,2,No,0,1,1013,0,0,1979,1526,Fa,8470,105,0,0,2,3,1013,1915,1982,85000
1040,0,2,None,0,0,0,420,1,1956,1040,TA,7200,60,0,0,5,4,0,1949,1950,90000
841,806,4,No,0,1,806,216,1,1920,1647,Fa,6858,66,0,66,4,6,806,1915,1950,128000
1328,653,4,No,622,4,500,576,1,1981,1981,Gd,7804,65,0,44,3,4,1122,1928,1950,135000
1644,0,3,No,1285,6,131,418,3,1953,1644,TA,9600,80,238,0,5,6,1416,1953,1953,167000
1482,1092,3,No,0,1,1482,868,3,2007,2574,Ex,9588,69,270,148,5,8,1482,2007,2007,276000
1060,764,3,No,0,1,764,520,1,1940,1824,TA,13515,60,0,0,6,6,764,1919,1950,180500
1350,0,3,Gd,624,6,288,520,2,1964,1350,TA,9020,82,259,0,5,6,1248,1964,1964,168500
958,0,2,No,958,2,0,440,2,1976,958,TA,4928,69,0,60,6,6,958,1976,1976,143750
1053,795,4,No,0,1,833,370,1,1922,1848,Gd,13053,64,0,0,7,6,833,1923,2000,207000
1620,0,3,No,1116,4,165,490,1,1993,1620,TA,9991,69,0,78,4,4,1281,1976,1993,150000
1167,0,3,No,560,6,598,400,2,1992,1167,Gd,9248,69,106,26,6,6,1158,1992,1992,173000
798,0,3,No,94,2,641,220,1,1949,1487,TA,8741,52,0,140,4,6,735,1945,1950,113000
892,0,3,No,432,4,460,288,2,1967,892,TA,7150,65,60,0,5,5,892,1967,1967,100000
804,0,3,No,510,4,278,240,1,1940,804,Gd,7200,60,294,0,7,5,788,1940,1992,119000
1140,0,3,No,0,1,1140,0,0,1979,1140,TA,17217,90,0,56,5,5,1140,2006,2006,84500
983,813,4,No,400,4,380,483,2,1963,1796,TA,7056,71,415,50,5,6,780,1963,1963,140000
1118,912,4,No,156,2,692,551,3,1976,2030,Gd,12046,69,298,224,6,6,848,1976,1976,195000
1026,981,3,Av,765,6,252,812,2,2008,2007,Ex,11003,85,160,52,5,10,1017,2008,2008,310000
691,0,2,No,0,1,691,216,1,1920,691,Ex,5400,60,0,20,6,5,691,1920,1950,86000
786,0,3,No,0,1,768,676,2,2008,1590,Gd,9000,75,0,30,5,8,768,2008,2008,210000
1216,639,4,No,444,3,550,325,1,1954,1855,TA,9525,75,0,0,4,6,994,1954,1972,136900
1028,776,3,No,0,1,994,442,3,1999,1804,Gd,7500,60,0,60,5,7,994,1999,1999,189000
884,884,3,No,550,6,334,543,2,2003,1768,Gd,8158,65,252,63,5,7,884,2003,2003,224900
1831,1796,4,Gd,1387,6,543,807,3,1995,3627,Gd,35760,118,1378,76,5,10,1930,1995,1996,625000
1298,0,3,No,1258,6,40,403,2,1985,1298,Gd,11200,69,85,26,5,6,1298,1985,1985,180000
1801,0,1,No,1247,5,254,484,3,1959,1801,TA,15602,100,0,54,8,7,1501,1959,1997,289000
630,0,1,Av,553,6,77,0,0,1979,630,Ex,1533,21,0,0,7,5,630,1970,1970,92000
1103,0,2,No,397,4,706,440,2,1976,1103,Gd,6000,50,0,120,6,6,1103,1925,1980,110500
859,319,2,Mn,0,1,859,384,2,1964,1178,TA,8712,66,0,0,7,4,859,1900,1950,102776
1196,0,2,No,197,2,999,440,1,1957,1196,TA,4800,40,0,0,7,4,1196,1916,1990,109900
1372,0,3,No,0,1,1372,529,3,2008,1372,Gd,8640,72,0,140,5,7,1372,2007,2008,250580
1431,0,3,Gd,371,6,728,296,2,1962,1431,TA,9150,101,305,110,5,6,1099,1962,1962,165000
1422,0,3,Av,0,1,1422,626,2,2004,1422,Gd,8500,63,106,60,5,7,1422,2004,2004,179600
1079,874,3,Av,985,6,595,501,3,1992,1953,Gd,53107,69,0,231,5,6,1580,1992,1992,240000
1121,0,2,No,0,1,1121,440,2,2003,1121,TA,8546,80,0,64,5,4,1121,2003,2004,140000
1143,1330,4,Av,0,1,1143,852,2,2004,2473,Gd,9591,76,344,151,5,8,1143,2004,2005,317000
1057,0,3,No,417,3,640,576,3,1977,1057,TA,7420,70,0,0,5,5,1057,1962,1962,132000
1110,0,3,Av,1097,6,0,602,3,1978,1110,Gd,9101,69,104,30,6,5,1097,1978,1978,165500
1164,1106,4,No,524,6,628,671,3,1999,2270,Gd,11764,92,348,57,7,8,1152,1999,2007,290000
2018,0,3,Gd,0,1,2002,746,3,2009,2018,Ex,13214,89,0,76,5,9,2002,2008,2009,378500
672,714,3,Mn,438,3,234,440,3,1978,1386,TA,11616,69,328,0,5,6,672,1978,1978,158900
1082,871,3,Mn,0,1,1082,1043,2,2005,1953,Gd,10574,85,0,50,5,8,1082,2005,2006,252000
1337,0,2,No,733,6,604,462,2,1993,1337,Gd,5395,41,0,0,5,8,1337,1993,1993,180000
997,1288,4,No,0,1,969,648,3,2000,2285,Gd,11000,69,72,56,5,8,969,2000,2000,248000
1718,0,3,Gd,1288,6,417,826,2,2007,1718,Gd,10637,79,336,44,5,8,1705,2007,2008,297000
1086,0,3,Av,516,5,380,484,2,1966,1086,TA,13400,85,1047,0,5,5,1024,1966,1966,159950
1555,0,2,No,0,1,1373,660,3,2007,1555,Gd,3684,53,130,20,5,7,1373,2007,2007,174000
1902,0,3,Av,1406,6,496,567,3,1959,1902,Ex,17500,100,0,207,8,7,1902,1959,2002,335000
1298,1216,4,No,1216,2,0,693,3,1990,2514,TA,11170,69,0,0,5,7,1216,1990,1991,250000
1224,0,2,Av,1086,6,0,528,1,1979,1224,TA,7018,64,275,0,5,5,1086,1979,1979,153337
1054,0,3,No,602,5,14,460,1,1969,1054,TA,9750,65,0,0,8,6,1054,1969,1969,151000
1276,1336,4,No,854,6,371,676,3,1998,2612,Gd,12203,98,975,0,5,8,1225,1998,1999,336000
902,0,3,No,599,6,277,288,1,1967,902,TA,6173,69,75,0,6,5,876,1967,1967,125500
1153,0,4,No,692,6,153,484,2,1983,2353,Ex,13005,94,278,195,7,7,845,1980,1980,260000
689,703,3,No,378,6,311,299,3,1977,1392,TA,10900,69,153,36,7,6,689,1977,1977,161750
1155,0,3,Av,899,5,210,576,1,1987,1155,Gd,11782,88,0,0,7,5,1109,1961,1995,148000
1136,768,3,No,180,3,676,240,1,1950,1904,TA,7200,60,0,0,4,5,1208,1950,1982,138000
950,208,3,No,0,1,862,208,2,1929,1158,TA,6000,50,0,0,7,6,862,1929,1950,120000
751,611,3,Mn,0,1,611,502,3,1920,1362,TA,6155,60,0,0,8,6,611,1920,1999,128000
1005,1286,4,No,0,1,975,429,3,1999,2291,Gd,8738,66,302,0,5,7,975,1999,1999,230000
649,668,3,No,0,1,649,250,1,1920,1317,TA,8500,50,0,54,4,4,649,1920,1950,40000
1734,0,3,No,1004,6,730,928,2,2007,1734,Ex,12085,93,328,0,5,8,1734,2007,2007,318000
1194,0,3,No,0,1,1194,312,2,1959,1194,TA,8760,73,220,0,6,6,1194,1959,1959,148000
876,540,4,Mn,0,1,876,720,1,1949,1416,TA,12665,100,0,0,8,5,876,1915,1950,153900
1383,0,3,Mn,1064,4,319,354,2,1954,1383,TA,13284,69,0,116,5,5,1383,1954,1954,165000
1001,1001,3,No,284,4,717,871,1,1949,2002,TA,6270,82,0,0,6,5,1001,1949,1950,145000
1496,0,3,Av,0,1,1496,474,2,2007,1496,Gd,9158,76,140,130,5,8,1496,2007,2007,225000
984,620,3,No,408,4,156,660,1,1977,1604,TA,10998,60,0,68,5,5,984,1941,1960,117000
764,0,2,No,0,1,680,504,1,1965,764,TA,5232,30,0,0,5,5,680,1925,2004,73000
977,755,3,No,0,4,741,476,3,1985,1732,Gd,9206,77,336,46,5,6,741,1985,1985,178000
1494,0,3,Av,0,1,1494,840,2,2006,1494,Gd,10652,91,306,33,5,7,1494,2006,2007,279500
986,0,2,No,0,1,960,180,1,1926,986,TA,6180,60,0,128,5,6,960,1926,1950,102000
1145,0,2,No,16,6,1129,397,3,2005,1145,Gd,3182,43,11,16,5,7,1145,2005,2006,160200
742,742,3,No,0,1,742,0,0,1979,1484,TA,6300,35,0,291,6,6,742,1914,2001,128000
1344,0,3,No,111,6,354,525,2,1958,1344,Gd,14375,69,541,118,6,6,819,1958,1958,137500
958,581,3,No,0,1,650,686,1,1983,1539,Gd,10440,60,0,78,8,5,650,1904,2002,157500
1134,1370,4,No,0,1,1122,656,3,2005,2504,Ex,11198,77,245,39,5,9,1122,2005,2007,325000
747,0,1,Mn,0,1,600,528,1,1953,747,TA,5825,52,108,0,5,4,600,1926,1953,79900
1108,989,3,Av,975,6,133,583,2,1998,2097,Gd,9750,75,0,170,6,7,1108,1998,1998,274300
3138,1538,3,Gd,2260,6,878,884,3,2007,4676,Ex,40094,130,762,406,5,10,3138,2007,2008,184750
786,390,2,No,0,1,698,624,1,1999,1176,TA,6000,50,0,0,9,6,698,1937,2000,134900
720,0,2,No,495,3,225,0,0,1979,720,TA,7879,60,0,523,5,4,720,1920,1950,34900
1580,0,3,No,0,1,1580,830,2,2008,1580,Gd,11932,92,186,24,5,8,1580,2007,2008,235128
1440,0,4,Gd,1440,4,0,0,0,1979,1440,TA,7711,42,0,0,3,4,1440,1977,1977,150000
738,0,3,No,193,6,545,540,3,2005,1476,Gd,8633,64,0,35,5,6,738,2005,2005,173500
1500,0,3,Av,20,6,1480,570,2,2004,1500,Gd,8487,63,210,36,5,7,1500,2004,2004,190000
884,464,3,No,0,4,884,216,1,1960,1348,TA,6000,50,0,0,8,5,884,1925,1997,117000
1200,0,1,Mn,661,6,203,884,1,1977,1200,Gd,9230,71,166,64,8,5,864,1965,1998,146000
1394,0,3,No,609,4,785,514,2,1963,1394,TA,9500,69,247,76,5,6,1394,1963,1963,159000
800,832,4,No,400,6,336,484,1,1966,1632,Gd,9130,69,252,40,8,6,800,1966,2000,173000
912,0,3,No,842,5,70,336,1,1974,912,TA,8521,70,0,0,5,5,912,1967,1967,125000
1370,1254,4,No,1128,4,242,864,1,1918,2624,TA,22420,86,0,0,6,6,1370,1918,1950,239000
1696,0,3,No,0,1,1140,349,2,1962,1696,TA,13673,40,0,30,5,5,1140,1962,1962,143900
682,548,2,No,0,1,440,440,1,1966,1230,TA,10440,60,0,0,6,5,440,1910,1981,110000
1549,1178,3,No,297,3,556,440,1,1932,2727,Gd,10570,70,0,74,8,8,853,1932,1994,315000
728,728,3,No,0,1,728,429,2,2006,1456,TA,15578,105,0,0,5,6,728,2006,2006,172785
864,0,3,No,375,4,250,660,1,1989,864,Gd,6960,60,0,0,6,4,864,1970,1970,120500
970,739,3,No,0,1,970,380,1,2004,1709,Gd,2522,24,50,40,5,6,970,2004,2006,130000
810,855,3,No,643,6,167,528,3,2001,1665,Gd,8400,70,0,45,6,8,810,2001,2001,227000
1372,1274,3,Gd,987,6,360,656,2,1993,2646,Gd,9900,90,256,60,5,7,1347,1993,1993,260000
798,0,3,No,0,1,798,595,2,2003,1640,Gd,7226,72,0,45,5,7,798,2003,2003,183000
1014,685,3,Mn,440,4,538,420,1,1920,1699,TA,10615,107,0,74,5,3,978,1900,1970,95000
1663,0,2,Gd,1116,4,248,529,2,1954,1663,Gd,53227,69,0,137,6,4,1364,1954,1994,256000
1728,0,6,No,1332,3,396,504,1,1963,1728,TA,9100,70,336,0,5,5,1728,1963,1963,125000
1055,790,3,No,0,1,1055,462,2,1992,1845,Gd,11218,70,0,104,5,6,1055,1992,1992,189000
1020,831,3,Gd,536,4,169,440,2,1964,1851,Gd,9760,80,340,42,8,6,822,1964,1993,187000
1489,0,3,No,0,1,1489,776,2,2006,1489,Gd,11216,81,0,140,5,8,1489,2006,2006,232600
864,0,2,No,612,3,252,300,1,2008,864,TA,9100,70,0,0,6,6,864,1959,1959,127500
1256,0,3,No,830,4,136,276,3,1965,1256,TA,9937,75,0,68,6,5,1256,1965,1965,147500
816,0,2,No,816,4,0,816,3,1985,816,TA,6600,60,0,0,8,5,816,1982,2003,138000
902,918,4,Gd,454,5,410,492,1,1965,1820,Gd,13700,69,288,84,6,7,864,1965,1988,201800
912,1215,4,Mn,48,4,422,833,2,1991,2127,Gd,13125,103,0,192,5,7,1104,1991,1991,238000
1065,0,3,No,0,1,1065,461,1,1974,1065,TA,8892,80,66,0,5,5,1065,1960,1960,126500
1200,0,4,No,0,1,1200,312,1,1923,1200,TA,11340,84,0,0,5,6,1200,1923,1950,125000
1208,0,2,Av,686,6,501,632,2,2006,1208,Gd,6762,64,24,61,5,7,1187,2006,2006,206000
1133,1349,4,Gd,0,1,1094,642,3,2005,2482,Gd,12665,88,245,39,5,8,1094,2005,2006,281213
1720,0,3,No,919,6,801,527,3,1996,1720,Gd,10593,59,338,56,5,7,1720,1996,1996,260400
840,0,3,No,116,2,556,0,0,1979,840,TA,4388,55,0,0,7,5,672,1930,1950,87000
1294,0,3,No,1200,6,78,496,2,1991,1294,Gd,7153,69,88,51,5,6,1278,1991,1991,179200
1090,0,2,No,980,5,110,450,3,2005,1090,TA,7024,60,0,49,5,5,1090,2005,2006,157000
1165,0,4,No,0,1,1141,420,3,1998,2263,Gd,12090,93,650,123,5,8,1141,1998,1998,258000
969,0,3,Av,716,4,253,440,1,1975,969,TA,10356,120,0,0,6,5,969,1975,1975,122000
894,0,2,No,0,1,894,1248,2,1994,894,TA,18000,120,0,20,4,3,894,1935,1950,81000
1028,0,2,No,0,1,1008,360,1,1927,1028,TA,8960,56,0,0,6,5,1008,1927,1950,115000
979,979,4,No,484,3,495,492,1,1946,1958,TA,7136,82,423,0,6,6,979,1946,1950,145000
1795,0,2,Av,0,1,1795,895,2,2007,1795,Gd,9986,75,428,49,5,8,1795,2006,2007,147000
1940,0,3,Av,1646,6,284,606,3,2010,1940,Ex,10159,83,450,95,5,9,1930,2009,2010,395192
1178,0,3,No,1084,4,92,439,1,1973,1178,Gd,10000,80,0,0,6,5,1176,1973,2000,157000
810,672,3,No,156,4,516,400,1,1934,1482,Fa,12155,69,0,0,8,6,672,1925,1950,140000
1428,0,3,No,0,4,1417,554,2,2008,1428,Ex,12274,91,256,60,5,7,1417,2008,2008,227680
864,0,3,Av,460,4,404,338,1,1972,864,TA,15523,36,0,0,6,5,864,1972,1972,133500
616,495,3,Mn,236,2,0,200,1,1941,1111,TA,9084,60,0,0,6,5,616,1941,1950,95000
680,790,3,No,310,4,370,420,3,1993,1470,TA,9765,69,68,63,8,6,680,1993,1993,185000
1116,0,3,No,0,1,1116,440,1,1962,1116,TA,10000,87,261,0,6,6,1116,1962,1962,160000
864,0,2,No,414,4,450,288,1,1959,864,Gd,7332,60,207,0,6,6,864,1959,1959,120000
1297,0,3,No,1213,3,84,498,3,1954,1297,TA,8532,74,650,0,6,5,1297,1954,1990,153000
1113,0,3,No,607,5,506,264,1,1950,1113,Gd,9600,80,0,80,7,5,1113,1950,2007,147000
1501,0,3,Gd,679,6,811,577,2,1999,1501,Gd,10335,78,183,29,5,7,1490,1999,1999,204000
764,783,3,Mn,24,6,732,614,1,2009,1547,Gd,8640,72,0,45,5,7,756,2009,2009,215200
991,956,3,No,222,6,769,678,2,2004,1947,Gd,12552,100,0,136,5,7,991,2004,2005,254900
1717,0,3,Av,0,1,1709,908,2,2006,1717,Gd,11146,87,250,39,5,8,1709,2006,2006,255500
1052,0,3,Av,504,4,506,440,1,1971,1052,TA,8816,80,80,0,7,6,1010,1971,1971,155000
1127,886,3,Av,862,4,255,455,1,1997,2013,TA,9920,92,0,130,5,7,1117,1996,1997,269790
1266,0,2,Av,0,1,1266,388,3,2007,1266,Gd,3182,43,16,16,5,7,1266,2007,2007,159895
1992,876,4,Av,240,6,1752,716,3,2005,2868,Ex,16056,85,208,108,5,9,1992,2005,2006,556581
980,1276,4,No,300,6,652,554,3,2000,2256,Gd,8795,69,0,54,5,7,952,2000,2000,236000
1414,0,3,Av,24,6,1390,494,2,2004,1414,Gd,8773,65,98,105,5,7,1414,2004,2004,185500
936,785,3,No,814,6,114,471,2,1994,1721,Gd,8462,70,105,87,5,6,928,1994,1994,201000
811,741,3,No,550,5,163,434,2,1975,1552,TA,11475,85,0,208,6,6,713,1975,1975,179900
698,430,2,No,0,1,698,528,2,1980,1128,TA,7500,60,0,0,4,4,698,1920,1950,68400
1118,0,3,Av,522,5,574,358,3,1977,1118,TA,9880,76,0,0,6,6,1096,1977,1977,171000
1728,0,4,Gd,936,3,396,574,1,1976,1728,TA,12640,55,0,0,5,6,1728,1976,1976,150900
1686,762,4,No,1361,6,88,711,2,1994,2448,Gd,46589,52,528,76,7,8,1629,1994,2005,402000
1473,0,1,Gd,1324,6,113,452,1,1968,1473,Ex,25095,65,0,48,8,5,1437,1968,2003,143000
1187,530,3,Mn,902,2,254,400,2,1990,1717,Gd,13758,44,117,36,5,7,1156,1990,1991,187500
1166,0,2,Gd,655,6,201,400,3,2005,1166,Gd,9587,59,182,0,5,7,856,2005,2005,190000
1370,0,2,Mn,24,6,1346,484,2,2006,1370,Gd,6442,44,178,49,5,8,1370,2006,2006,202500
1724,0,3,Av,528,5,1152,480,2,1967,1724,TA,17871,69,359,0,5,6,1680,1967,1976,197900
970,739,3,No,0,1,970,380,1,2004,1709,Gd,2522,24,50,40,5,7,970,2004,2004,130000
483,0,2,No,358,5,125,264,1,1971,987,TA,1680,21,604,0,3,6,483,1971,1971,89500
901,901,4,No,352,2,441,216,1,1920,1802,TA,7588,54,0,0,6,7,793,1920,1950,200100
1170,1175,4,No,503,3,449,360,1,1932,2345,TA,16560,80,0,0,8,6,952,1932,1950,239000
1068,0,3,No,663,6,396,264,2,1963,1068,TA,8414,70,0,0,8,6,1059,1963,2003,154500
1617,0,2,No,165,2,598,533,2,1993,1617,Gd,8012,50,0,69,5,6,1604,1993,1994,193000
1244,0,3,No,777,3,467,336,1,1957,1244,TA,11988,90,0,40,6,6,1244,1957,1957,150000
1180,0,2,No,0,1,700,252,1,1922,1180,Fa,11600,80,0,0,5,4,700,1922,1950,137500
520,623,2,No,0,1,600,480,2,2005,1223,Gd,2544,24,0,166,5,7,600,2005,2005,147400
1686,0,3,No,625,4,0,612,1,1980,1686,TA,10240,79,157,131,6,6,1686,1980,1980,207500
1646,0,3,Gd,1513,6,125,800,2,2008,1646,Gd,9520,71,338,44,5,8,1638,2007,2008,293077
1144,0,3,No,594,4,270,264,2,1961,1144,TA,10000,80,0,0,6,5,864,1961,1983,131400
939,858,3,Av,0,1,939,639,2,2006,1797,Gd,9245,79,0,53,5,7,939,2006,2006,213500
1224,0,2,None,0,0,0,462,1,1962,1224,TA,9842,70,0,0,5,4,0,1962,1962,101800
992,873,3,No,735,6,257,839,2,2000,1865,Gd,10316,69,0,184,5,7,992,2000,2000,235000
1056,0,3,No,846,3,210,308,2,1958,1056,TA,8176,70,0,0,6,5,1056,1958,1992,139000
1966,1174,4,No,0,1,1926,820,3,2009,3140,Ex,13518,104,860,78,5,9,1926,2008,2009,485000
1212,0,3,Av,506,5,0,492,1,1978,1212,TA,8471,88,46,12,7,6,506,1977,1995,151000
1694,0,3,Av,1369,6,317,636,2,2004,1694,Gd,10084,75,186,57,5,8,1686,2004,2005,307000
802,709,3,Av,714,6,88,413,3,1997,1511,TA,11207,70,0,75,5,6,802,1997,1997,185000
1057,0,3,No,731,6,326,246,1,1953,1057,Gd,7922,68,0,52,7,5,1057,1953,2007,109000
1246,1044,4,No,0,1,777,560,1,1971,2290,TA,11340,60,0,0,6,4,777,1885,1950,122500
1377,806,4,No,1002,6,0,786,1,1988,2183,Gd,13837,69,178,0,5,7,1204,1988,1988,229000
1699,1523,5,Mn,1470,6,203,594,1,1990,3222,Gd,12376,90,0,0,5,7,1673,1990,1990,320000
909,807,2,No,0,1,880,512,2,1996,1716,Gd,8750,70,0,120,5,7,880,1996,1996,191000
1342,0,3,No,251,3,491,457,1,1967,1342,TA,9790,69,0,0,5,6,1372,1967,1967,161500
1504,0,2,No,16,6,1330,437,3,2005,1504,Gd,3182,43,14,20,5,7,1346,2005,2006,191000
1053,0,3,No,0,1,1053,648,2,2003,1992,Gd,9375,75,768,45,5,8,1053,2003,2004,250000
624,628,2,No,510,4,90,462,2,1999,1252,Gd,2160,24,212,48,5,7,600,1999,2000,160000
999,0,3,No,588,5,411,264,1,1963,999,Gd,7758,69,0,132,7,5,999,1962,2001,132500
741,622,3,No,0,4,622,528,1,1966,1363,TA,7740,60,0,0,7,4,622,1910,1950,125500
1165,0,3,Gd,312,3,276,490,2,1966,1165,TA,9020,82,183,129,7,6,1127,1966,1966,174900
1668,0,3,Av,1059,6,567,702,2,2002,1668,Gd,11248,90,215,45,5,9,1626,2002,2002,285000
1158,1218,4,Av,0,1,1158,853,2,2005,2376,Gd,14215,101,380,154,5,8,1158,2005,2006,325300
889,551,3,No,0,1,540,352,1,1940,1440,TA,5000,63,0,0,4,5,540,1900,1950,79000
794,676,3,Av,182,6,612,388,3,1997,1470,TA,13869,69,0,75,6,6,794,1997,1997,177000
1541,0,3,Mn,1201,4,340,532,2,2005,1541,Gd,12182,95,226,70,5,7,1541,2005,2005,220000
1440,0,4,No,133,5,1307,0,0,1979,1440,Fa,12108,92,270,0,4,4,1440,1955,1955,118000
1146,0,3,Av,786,6,82,438,2,2003,1146,Gd,9590,73,442,22,5,7,868,2003,2003,187500
1494,0,3,Av,437,2,0,481,3,1995,1494,Ex,9549,30,0,30,5,8,1494,1995,1996,270000
1462,0,4,No,1170,6,292,738,3,2004,2224,Ex,8834,74,216,0,5,9,1462,2004,2005,350000
820,523,3,No,0,1,731,186,1,1921,1343,TA,7681,54,0,0,6,5,731,1921,1950,154900
1210,1242,4,No,281,4,747,683,3,1998,2452,Gd,16226,66,0,50,5,8,1028,1998,1999,267000
1127,850,4,No,442,3,374,540,2,1964,1977,TA,9500,100,272,52,6,6,816,1964,1978,165000
1064,703,2,No,495,6,354,504,2,1987,1767,Gd,5306,44,0,35,7,7,1064,1987,1987,239000
1324,0,2,No,863,6,461,550,3,2006,1324,Gd,6240,48,176,38,5,8,1324,2006,2006,254000
912,546,3,No,0,1,912,330,1,1948,1458,TA,17503,78,0,0,5,6,912,1948,1950,97500
1314,0,3,No,24,6,1290,440,2,2006,1314,Gd,9317,78,0,22,5,6,1314,2006,2006,176432
1575,0,3,No,430,6,1145,529,2,1992,1575,Gd,8012,50,0,0,5,6,1575,1992,1992,179200
1620,0,2,Gd,1022,6,598,912,3,2008,1620,Ex,12898,89,70,0,5,9,1620,2007,2008,315500
1104,684,5,Av,0,1,1104,304,1,1957,1788,TA,11250,69,0,0,5,4,1104,1957,1989,161500
913,0,3,Gd,187,2,0,240,1,1990,913,TA,8400,70,0,0,5,6,814,1966,1966,129000
2073,0,3,No,790,5,589,500,1,1978,2073,TA,13175,85,119,0,6,6,1542,1978,1988,210000
764,677,2,No,0,1,776,492,1,1999,1441,Gd,2645,24,456,0,5,8,776,1999,2000,174000
815,875,3,No,0,1,815,225,2,1916,1690,TA,8850,65,0,0,6,7,815,1916,1950,144000
1437,0,3,No,988,3,200,576,1,1999,1437,TA,14175,69,0,0,6,5,1188,1956,1987,168000
2156,0,3,No,297,4,1203,508,2,1968,2156,TA,20781,69,0,80,7,7,1568,1968,2003,262500
864,0,2,No,468,3,396,0,0,1979,864,TA,5604,67,0,0,6,5,864,1925,1950,98000
536,576,3,No,129,3,175,336,1,1976,1112,TA,2592,36,0,0,3,5,536,1976,1976,85000
1122,1121,4,No,700,5,0,746,2,1990,2243,Gd,13474,116,246,44,5,7,700,1990,1991,225000
810,518,3,No,0,1,686,210,1,1940,1328,TA,9906,57,0,172,4,4,686,1925,1950,107000
968,0,4,No,0,1,656,216,1,1928,968,TA,10800,60,0,0,6,4,656,1927,2007,64500
698,698,3,No,0,1,698,384,1,2003,1396,TA,8730,60,0,0,7,6,698,1915,2003,153575
1856,0,1,Av,1445,6,411,834,3,2010,1856,Ex,11394,88,350,0,2,9,1856,2010,2010,394432
1610,551,3,No,1288,6,294,789,3,2007,2161,Ex,10562,86,300,120,5,8,1582,2007,2007,325624
1602,0,3,No,1246,5,356,529,3,1977,1602,Gd,16635,69,126,0,7,6,1602,1977,2000,215000
630,672,3,No,0,1,630,280,1,1991,1302,TA,1680,21,142,0,5,5,630,1971,1971,112000
807,702,3,No,457,6,326,393,3,2002,1509,Gd,7861,69,0,75,5,6,783,2002,2003,183200
912,0,2,No,737,5,175,352,2,1962,912,TA,12968,69,0,0,6,5,912,1962,1962,144000
1004,0,3,No,399,5,605,420,2,1950,1664,TA,5000,50,0,24,7,6,1004,1947,1950,159000
1390,304,4,No,423,3,758,576,1,1925,1694,TA,8400,60,0,0,5,6,1181,1925,1950,136500
747,0,2,No,0,1,747,220,1,1945,747,TA,4608,47,0,0,6,4,747,1945,1950,80000
1040,0,2,None,0,4,0,420,1,1950,1040,TA,7200,60,0,29,5,4,0,1950,1950,109900
831,829,3,No,0,1,831,493,2,2002,1660,Gd,8935,68,95,68,5,7,831,2002,2002,195000
1026,665,3,No,218,2,808,308,1,1924,1691,Gd,5000,50,0,0,6,5,1026,1924,1950,127000
864,0,3,No,398,5,317,720,2,1980,864,Gd,7200,60,0,0,8,5,864,1950,2002,129000
752,0,2,No,623,5,0,264,1,1984,752,TA,7175,50,0,0,5,6,744,1984,1984,125000
963,829,3,No,361,6,602,564,2,2001,1792,Gd,12435,80,172,96,5,7,963,2001,2001,231500
764,862,2,No,0,1,764,474,2,2003,1626,Gd,2628,36,106,27,5,7,764,2003,2003,175500
1484,0,3,Av,428,6,1048,472,2,2006,1484,Ex,9037,64,32,33,5,8,1476,2006,2006,265900
1675,1818,3,No,0,1,1470,870,1,2003,3493,Gd,18386,87,0,0,9,7,1470,1880,2002,295000
1652,0,2,No,1572,6,80,840,3,2006,1652,Ex,13173,108,300,102,5,9,1652,2006,2007,325000
1276,0,3,No,0,1,1276,350,1,1958,1276,TA,9571,68,0,0,3,5,1276,1958,1958,60000
1112,0,3,No,120,4,736,271,1,1950,1668,TA,9600,80,0,0,8,6,856,1950,2005,140000
720,472,4,No,0,1,720,0,0,1979,1192,TA,10800,60,0,0,4,4,720,1949,1950,135000
884,0,2,Av,747,5,0,504,2,1983,884,Gd,9180,69,0,0,7,5,840,1983,1983,144000
1180,0,3,Gd,1065,6,92,454,2,1988,2062,TA,14364,69,128,55,5,7,1157,1988,1989,277000
